letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight
PQW_Average-Regular_Approach1,25,5,0,9,29
PQW_Average-Regular_Approach1,21,3,0,9,29
PYE_Average-Regular_Approach1,13,3,0,5,13
PYE_Average-Regular_Approach1,11,2,0,5,13
PYE_Average-Regular_Approach1,6,1,0,5,13
PYO_Average-Regular_Approach1,14,4,0,6,14
PYO_Average-Regular_Approach1,5,1,0,6,14
PYO_Average-Regular_Approach1,9,2,0,6,14
PYO_Average-Regular_Approach1,12,3,0,6,14
Q_Average-Regular_Approach1,4,2,0,2,4
Q_Average-Regular_Approach1,2,1,0,2,4
QFN_Average-Regular_Approach1,24,5,0,9,24
QFN_Average-Regular_Approach1,8,1,0,9,24
QFN_Average-Regular_Approach1,18,3,0,9,24
QFN_Average-Regular_Approach1,22,4,0,9,24
QFN_Average-Regular_Approach1,14,2,0,9,24
QFR_Average-Regular_Approach1,24,7,0,10,24
QFR_Average-Regular_Approach1,7,1,0,10,24
QFR_Average-Regular_Approach1,11,2,0,10,24
QFR_Average-Regular_Approach1,22,6,0,10,24
QFR_Average-Regular_Approach1,20,5,0,10,24
QFR_Average-Regular_Approach1,15,3,0,10,24
QFR_Average-Regular_Approach1,18,4,0,10,24
QLZ_Average-Regular_Approach1,8,3,0,4,8
QLZ_Average-Regular_Approach1,4,1,0,4,8
QLZ_Average-Regular_Approach1,6,2,0,4,8
QM_Average-Regular_Approach1,12,3,0,6,12
QM_Average-Regular_Approach1,8,2,0,6,12
QM_Average-Regular_Approach1,4,1,0,6,12
QN_Average-Regular_Approach1,12,2,0,4,12
QN_Average-Regular_Approach1,8,1,0,4,12
QW_Average-Regular_Approach1,21,4,0,6,21
QW_Average-Regular_Approach1,9,1,0,6,21
QW_Average-Regular_Approach1,17,2,0,6,21
QW_Average-Regular_Approach1,19,3,0,6,21
QX_Average-Regular_Approach1,7,2,0,3,7
QX_Average-Regular_Approach1,5,1,0,3,7
QYH_Average-Regular_Approach1,15,3,0,6,15
QYH_Average-Regular_Approach1,6,1,0,6,15
QYH_Average-Regular_Approach1,12,2,0,6,15
QYR_Average-Regular_Approach1,13,3,0,6,13
QYR_Average-Regular_Approach1,6,1,0,6,13
QYR_Average-Regular_Approach1,11,2,0,6,13
QMP_Average-Regular_Approach1,28,6,0,12,28
QMP_Average-Regular_Approach1,18,3,0,12,28
QMP_Average-Regular_Approach1,22,4,0,12,28
QMP_Average-Regular_Approach1,8,1,0,12,28
QMP_Average-Regular_Approach1,14,2,0,12,28
QMP_Average-Regular_Approach1,26,5,0,12,28
QPV_Average-Regular_Approach1,21,5,0,9,23
QPV_Average-Regular_Approach1,9,1,0,9,23
QPV_Average-Regular_Approach1,17,3,0,9,23
QPV_Average-Regular_Approach1,13,2,0,9,23
QPV_Average-Regular_Approach1,19,4,0,9,23
RJ_Average-Regular_Approach1,5,1,0,2,5
RMJ_Average-Regular_Approach1,21,4,0,8,21
RMJ_Average-Regular_Approach1,8,1,0,8,21
RMJ_Average-Regular_Approach1,14,2,0,8,21
RMJ_Average-Regular_Approach1,18,3,0,8,21
SF_Average-Regular_Approach1,4,1,0,2,4
SH_Average-Regular_Approach1,4,1,0,2,4
SL_Average-Regular_Approach1,4,1,0,2,4
SNO_Average-Regular_Approach1,24,7,0,13,26
SNO_Average-Regular_Approach1,8,1,0,13,26
SNO_Average-Regular_Approach1,12,2,0,13,26
SNO_Average-Regular_Approach1,18,4,0,13,26
SNO_Average-Regular_Approach1,20,5,0,13,26
SNO_Average-Regular_Approach1,22,6,0,13,26
SNO_Average-Regular_Approach1,16,3,0,13,26
SOF_Average-Regular_Approach1,15,4,0,8,18
SOF_Average-Regular_Approach1,5,1,0,8,18
SOF_Average-Regular_Approach1,9,2,0,8,18
SOF_Average-Regular_Approach1,13,3,0,8,18
SOG_Average-Regular_Approach1,10,3,0,6,13
SOG_Average-Regular_Approach1,4,1,0,6,13
SOG_Average-Regular_Approach1,8,2,0,6,13
SOS_Average-Regular_Approach1,27,7,0,13,34
SOS_Average-Regular_Approach1,8,1,0,13,34
SOS_Average-Regular_Approach1,20,4,0,13,34
SOS_Average-Regular_Approach1,16,3,0,13,34
SOS_Average-Regular_Approach1,12,2,0,13,34
SOS_Average-Regular_Approach1,23,5,0,13,34
SOS_Average-Regular_Approach1,25,6,0,13,34
SVY_Average-Regular_Approach1,17,3,0,6,17
SVY_Average-Regular_Approach1,8,1,0,6,17
SVY_Average-Regular_Approach1,13,2,0,6,17
SYZ_Average-Regular_Approach1,13,3,0,5,13
