letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
LWC_arial_Approach1,4,1,0,4,8,31.0,62,2.0,6.40939093613771,3.15983593526927,522,0.5,0.9,1.0,0.5,Approach1,LSP
MB_arial_Approach1,4,1,0,2,4,30.0,60,2.04255319148936,5.58496250072116,3.08086204450475,316,0.6,0.8,1.0,0.3,Approach1,LSP
MMK_arial_Approach1,8,2,0,4,8,23.0,46,1.96551724137931,5.83289001416474,3.00135762024195,301,0.5,0.9,1.0,0.3,Approach1,LSP
MMK_arial_Approach1,4,1,0,4,8,23.0,46,1.96551724137931,5.83289001416474,3.00135762024195,301,0.5,0.9,1.0,0.3,Approach1,LSP
MNW_arial_Approach1,4,1,0,2,4,26.5,53,1.96875,5.97727992349992,3.10768994887274,353,0.5,0.9,1.0,0.4,Approach1,LSP
MP_arial_Approach1,4,1,0,2,4,21.0,42,2.0,5.28540221886225,3.13073491470822,196,0.5,0.8,1.0,0.2,Approach1,LSP
NB_arial_Approach1,4,1,0,2,4,26.5,53,2.04878048780488,5.39231742277876,3.05767188829516,355,0.6,0.8,1.0,0.4,Approach1,LSP
NJY_arial_Approach1,7,2,0,3,7,22.5,45,1.96551724137931,5.83289001416474,2.86470700096967,469,0.5,0.9,0.9,0.5,Approach1,LSP
NJY_arial_Approach1,5,1,0,3,7,22.5,45,1.96551724137931,5.83289001416474,2.86470700096967,469,0.5,0.9,0.9,0.5,Approach1,LSP
NUO_arial_Approach1,4,1,0,2,4,27.5,55,2.0,5.90689059560852,3.10922042597794,509,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,14,3,0,6,14,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWF_arial_Approach1,5,1,0,6,14,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
