letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
UAV_Average-Regular_Approach2,20,3,0,8,23,62.0,124,2.0,4.16992500144231,2.90576458465545,319,0.5,0.6,0.9,0.3,Approach2,LSP
UD_Average-Regular_Approach2,5,1,0,2,5,45.0,90,1.8,3.16992500144231,2.72548055699787,74,0.4,0.5,0.9,0.1,Approach2,LSP
UH_Average-Regular_Approach2,2,1,0,1,2,59.0,118,1.84615384615385,3.58496250072116,2.28415912785142,131,0.5,0.5,0.7,0.2,Approach2,LSP
UI_Average-Regular_Approach2,4,2,0,2,4,38.0,76,1.71428571428571,2.58496250072116,1.79248125036058,71,0.4,0.4,0.6,0.1,Approach2,LSP
UI_Average-Regular_Approach2,2,1,0,2,4,38.0,76,1.71428571428571,2.58496250072116,1.79248125036058,71,0.4,0.4,0.6,0.1,Approach2,LSP
UNY_Average-Regular_Approach2,10,2,0,5,10,68.0,136,1.77777777777778,3.0,2.15563906222957,48,0.4,0.5,0.7,0.1,Approach2,LSP
UNY_Average-Regular_Approach2,6,1,0,5,10,68.0,136,1.77777777777778,3.0,2.15563906222957,48,0.4,0.5,0.7,0.1,Approach2,LSP
UPJ_Average-Regular_Approach2,8,2,0,4,8,55.0,110,2.0,3.16992500144231,2.19715972342415,164,0.5,0.5,0.7,0.2,Approach2,LSP
UPJ_Average-Regular_Approach2,4,1,0,4,8,55.0,110,2.0,3.16992500144231,2.19715972342415,164,0.5,0.5,0.7,0.2,Approach2,LSP
VNM_Average-Regular_Approach2,11,2,0,3,11,67.0,134,2.0,3.58496250072116,2.68872187554087,291,0.5,0.5,0.9,0.3,Approach2,LSP
VNM_Average-Regular_Approach2,9,1,0,3,11,67.0,134,2.0,3.58496250072116,2.68872187554087,291,0.5,0.5,0.9,0.3,Approach2,LSP
WD_Average-Regular_Approach2,5,1,0,2,5,42.5,85,1.8,3.16992500144231,2.41938194564637,76,0.4,0.5,0.8,0.1,Approach2,LSP
WF_Average-Regular_Approach2,8,2,0,3,8,45.5,91,1.8,3.16992500144231,2.41938194564637,82,0.4,0.5,0.8,0.1,Approach2,LSP
WF_Average-Regular_Approach2,6,1,0,3,8,45.5,91,1.8,3.16992500144231,2.41938194564637,82,0.4,0.5,0.8,0.1,Approach2,LSP
WFD_Average-Regular_Approach2,8,2,0,3,8,66.0,132,2.0,3.90689059560852,2.97355726227519,160,0.5,0.6,1.0,0.2,Approach2,LSP
WFD_Average-Regular_Approach2,5,1,0,3,8,66.0,132,2.0,3.90689059560852,2.97355726227519,160,0.5,0.6,1.0,0.2,Approach2,LSP
WG_Average-Regular_Approach2,8,2,0,4,8,44.0,88,1.8,3.16992500144231,2.11328333429487,109,0.4,0.5,0.7,0.1,Approach2,LSP
WG_Average-Regular_Approach2,4,1,0,4,8,44.0,88,1.8,3.16992500144231,2.11328333429487,109,0.4,0.5,0.7,0.1,Approach2,LSP
WM_Average-Regular_Approach2,4,1,0,2,4,48.0,96,1.71428571428571,2.58496250072116,2.25162916738782,70,0.4,0.4,0.7,0.1,Approach2,LSP
WPG_Average-Regular_Approach2,6,3,0,3,6,62.5,125,2.0,3.58496250072116,2.5220552088742,142,0.5,0.5,0.8,0.2,Approach2,LSP
WPG_Average-Regular_Approach2,2,1,0,3,6,62.5,125,2.0,3.58496250072116,2.5220552088742,142,0.5,0.5,0.8,0.2,Approach2,LSP
WPG_Average-Regular_Approach2,4,2,0,3,6,62.5,125,2.0,3.58496250072116,2.5220552088742,142,0.5,0.5,0.8,0.2,Approach2,LSP
WWA_Average-Regular_Approach2,4,1,0,2,4,56.0,112,1.6,3.0,2.75,0,0.4,0.5,0.9,0.0,Approach2,LSP
XBL_Average-Regular_Approach2,26,4,0,10,26,67.5,135,2.28571428571429,4.58496250072116,2.89207956392571,459,0.7,0.7,0.9,0.4,Approach2,LSP
XBL_Average-Regular_Approach2,9,1,0,10,26,67.5,135,2.28571428571429,4.58496250072116,2.89207956392571,459,0.7,0.7,0.9,0.4,Approach2,LSP
XBL_Average-Regular_Approach2,17,2,0,10,26,67.5,135,2.28571428571429,4.58496250072116,2.89207956392571,459,0.7,0.7,0.9,0.4,Approach2,LSP
XBL_Average-Regular_Approach2,24,3,0,10,26,67.5,135,2.28571428571429,4.58496250072116,2.89207956392571,459,0.7,0.7,0.9,0.4,Approach2,LSP
XGU_Average-Regular_Approach2,17,3,0,6,17,74.0,148,1.83333333333333,3.4594316186373,3.09579525500093,97,0.5,0.5,1.0,0.1,Approach2,LSP
XGU_Average-Regular_Approach2,10,1,0,6,17,74.0,148,1.83333333333333,3.4594316186373,3.09579525500093,97,0.5,0.5,1.0,0.1,Approach2,LSP
XGU_Average-Regular_Approach2,14,2,0,6,17,74.0,148,1.83333333333333,3.4594316186373,3.09579525500093,97,0.5,0.5,1.0,0.1,Approach2,LSP
